,AAPL,MSFT,NVDA,GOOG,AMZN,META,TSLA,BRK-A,LLY,AVGO,JPM,V,ORCL,WMT,XOM,MA,NFLX,JNJ,COST,ABBV,PLTR,BAC,PG,HD,AMD,KO,GE,CRM,CSCO,CVX,UNH,IBM,WFC,CAT,MS,AXP,MRK,PM,TMUS,MU,GS,RTX,ABT,TMO,MCD,PEP,ISRG,LIN,SHOP
2025-11-05,3987.8183200492863,3762.3628819543856,4752.778033462524,1539.64325,2674.69201332825,1385.0287072061124,1536.7612868547171,385.0138115,827.4021766833398,1695.2346474790118,848.4746921671555,572.7271986336389,713.5818899976072,809.0052130818242,475.23191812896727,493.1420630598067,465.4530224505226,448.128888972,414.38583791904495,383.1159742297218,429.2263469123317,383.015897168862,340.6723684201913,372.1153404692653,417.31586608729066,294.70323116017784,321.83425693383435,240.5513530273437,284.87391196340815,301.8501334315511,296.8795404727197,285.1763637656102,271.5158685107908,266.6347904629237,262.52210035053093,251.98192625856635,209.4578802981337,231.00518085063104,229.0030527513804,266.5856833125,237.8703108437108,233.294317908,216.5591138713648,213.266928114296,217.68422972711943,195.33821066347812,194.45881651680537,195.29205612395413,199.18613834439088
2025-11-06,3982.3561019130248,3687.732900880636,4579.183804580688,1542.8333601989746,2598.1500275407493,1347.9827894719724,1483.0160369364835,386.975099,837.7960080943578,1679.2257608791629,853.2114850527149,567.5395705753803,695.0232457989285,810.6795045180811,478.6598714599609,493.1153536013196,464.8428597863445,450.4659081619741,409.31143094394287,387.12791792729433,399.87267577183417,389.1499945451344,341.4668849252018,367.36735709871954,386.9854690896115,297.06909633372527,322.0030310224382,227.7850440673828,280.6857613728551,302.40375693198985,291.28146443567994,290.4286582318438,268.67425840342355,266.92993447190844,259.7249246935078,251.9337226196403,212.9078901082673,233.3401389741311,224.8310107481196,267.5173321768467,236.2177018191114,234.7691752276225,217.27204447103392,212.643239894772,212.51398219148712,193.5880169764345,194.18586925356715,193.9332330276361,190.78687604868188
2025-11-07,3963.165511867218,3685.65570011878,4580.887901397705,1512.337966003418,2612.7957343972503,1354.015585284002,1428.5058120712993,391.3788432,826.1152594544941,1650.1359750498257,855.3620124504314,565.9563361161648,682.0806230124284,817.9347674085271,490.0306372070313,491.9477531594304,467.6564163629096,449.5022048263444,408.9391485343184,387.3400224214759,406.451534024198,388.492768831362,343.4530870484172,369.3979239873109,380.2128103211453,303.4785171422184,324.1126588444382,228.3657646484375,280.80428938663164,306.5165019639047,293.68193124987977,284.8138286785419,270.0868368675977,263.8004701038263,258.04026070399743,253.86939408280355,214.14890137626733,238.77281675901312,231.530871582,267.05711699190334,235.8457933944608,237.2764122124245,219.7238602842432,215.059039962374,213.4041751289872,195.4612662671091,198.51780088,196.3566991143481,186.33660947521827
2025-11-10,3981.192680564758,3753.7574007461735,4846.270424301148,1571.220110198975,2655.4495918845,1375.90334585189,1480.7545042619506,389.380945,863.8922181422842,1692.448469409849,862.657738539439,563.9857008045954,686.5563882821072,816.5793973165136,494.2110885009766,492.8301444549897,474.6098913781729,453.9352989909222,405.7571252965796,386.5447047307057,442.2699094575668,390.0992989097313,339.9947313795,368.7210683577805,397.2095679734561,303.3494413091847,329.03865397256925,230.10792639160155,284.8343925773296,307.7621624668208,291.29957125623963,288.95469879491674,270.2751742763371,267.4311817570763,262.3155066307371,253.41474946917347,215.315454998,241.38798220859272,230.26695363316188,284.3206500909945,239.1030126304367,240.0383991395755,218.9065883465068,216.53933063209,213.0053704316452,195.0100415231745,204.26064158994464,196.4314126531662,194.246838868291
2025-11-11,4067.19116325,3773.638920246032,4702.866609161377,1577.4381271972657,2662.9328735880003,1365.7108400243071,1462.0966059571886,390.03523051,883.5358695623979,1662.0835527908798,859.2004122556036,570.8408212048732,673.2146562708929,824.7117395246486,500.73255519866944,497.633984718817,481.5463617541782,466.9936740322111,405.0037152874775,397.9619943512621,436.2164382682352,391.63284414640674,347.09838567994126,372.51348905270726,386.6924335365439,308.03821201594366,327.7517797135347,232.764,283.3329874953949,308.9287469729805,296.61686717660035,293.24512996735416,270.55770433876063,266.06323130814786,264.6200002815,254.9853303971301,225.7399420746684,244.08096059368444,237.1010298007041,270.63778638394894,243.03507101616265,240.2931490819245,220.836737269,220.349015853886,218.5103096478805,198.3737074034345,202.83201203012752,199.2237581344699,194.3201919381455
2025-11-12,4040.88927294754,3791.88870986155,4718.448674301148,1554.1339703979493,2610.55071726225,1326.35636498214,1432.0977536093892,395.58541263,909.5963531535936,1677.4785088794458,872.2400719101722,571.9039846979797,647.1014290688215,824.7117395246486,493.7930626754761,500.2008126377036,490.470176605,468.3428734072629,405.065766864,412.2071101702782,420.7057908072995,395.1380386675896,345.8599197514293,369.4178511613964,421.4836981388647,307.6080576951779,325.95858318868824,234.2110440673828,292.2229502621449,303.1551314397492,307.1336402856799,294.4229054551877,270.77743929872804,268.447801607439,270.0554352150078,256.7832231208597,226.9809533426684,242.1507199940524,237.8839810254928,274.89192512051096,251.6310140867019,238.241769647349,224.0014969484185,220.923860191228,218.5886579276581,197.4302393810218,202.93128131619463,200.30240902275787,191.4470723327817
2025-11-13,4033.205731725403,3733.653372625723,4549.480434860229,1509.2018135986327,2539.78153946775,1328.272918173085,1336.9460144636273,402.81445685,914.1453034668812,1605.5097120610117,842.4857649642669,567.1785904405557,620.2469679496787,817.5361613492431,496.5939290084839,495.1563152570799,489.0845571311555,470.4148686655,409.9761997079429,410.5457643012943,393.22525543143314,386.08293192859327,345.7431115985587,366.3719704517196,403.6891911888547,305.7153393014032,320.84276147263097,228.88935302734376,305.7356864329347,307.62374896478235,301.20944797055967,284.96336120874975,265.88045112767423,259.32650210791314,263.20551596474746,251.2448709666403,230.6543550279332,241.51249240638109,239.9979749330072,265.9683235677555,241.5924156105,233.2406960320848,224.7665783173111,217.959518102182,219.0444254103805,198.2916703343473,200.4710777041057,200.1529961952722,178.91541298478174
2025-11-14,4025.226374842621,3784.766619457285,4630.068945419312,1497.6309194030762,2508.88682172075,1327.3364417387522,1344.7950004756392,399.51007967,917.6448573982126,1617.22108508188,826.506015508061,556.9515581545456,635.2991494241072,817.0578097468917,503.0459338607788,486.3863108012036,471.2624020601875,472.05317168865565,409.0455072086367,410.669494170246,397.4969488798985,384.1842953425896,345.06543890214306,360.6882908260609,401.8169285126892,306.1025011631621,321.5283840767078,231.9643234863281,308.185375914,311.65738749222606,291.5532049640796,285.7392074042084,266.9791498768258,259.55139143465846,260.42422467049744,246.0440283732398,230.629529500401,241.94834935590728,241.6869137941268,277.05829347434667,237.21645058028923,235.399339677047,227.0792811907908,217.426019079194,218.65274921117097,199.4265651392818,194.7991405361057,197.70151431277225,178.54862898009986
2025-11-17,3952.083247117218,3764.810930417228,4543.150348602295,1544.239233001709,2489.430550283249,1311.11114009914,1359.9940184278564,395.0922142,914.440674952422,1618.1183459652711,817.6859122568536,549.7453975775,626.7752638752858,820.8049986786893,496.2565612869263,478.471933784317,467.33439504798537,480.84712086871104,404.4408961276245,413.568003888,391.192199555,375.9324675711828,340.74250322992765,356.3782800103384,391.5765581565439,304.03771447734687,316.58130425888857,225.65255883789064,307.3161302870265,306.1210304569786,290.3393845305597,277.7752737183961,261.86242674580456,258.6237837234132,253.41536478876287,235.07062658625,230.48061420786632,237.792126746368,241.4184660597464,271.5806537427555,232.61255525891264,235.479782720198,226.1055171457636,213.086572652624,217.1358569683548,202.1338927389345,193.80655585905035,195.11461325053008,171.07853666156348
2025-11-18,3951.787882395081,3663.177793075684,4415.57193486023,1540.778673797607,2379.107605872,1301.7026425057225,1334.48494075875,395.18478697,921.9141143499378,1607.965289991,815.0725637151722,542.0329171680304,628.5712771363216,808.3673703933379,501.9495048522949,470.2100074186031,483.4362043430585,481.8590204,396.68082442794287,413.33823525603225,382.2376144107005,377.1008657449104,343.4764772035708,334.9277099182044,374.9216753161453,306.3605871918873,312.2354760960271,222.292,305.6961971913153,307.14068980867125,284.0528622962396,271.02648439004184,263.2436316080652,256.2017556977348,254.01931008724225,234.6642066336301,239.3414339039332,242.6021585326189,238.3313939161268,256.4834889975,232.83449942806328,234.2596753429245,226.05335311,216.41912423284205,216.91509085851288,203.41919579184727,193.82782475796145,193.65306081960605,171.7142943593181
2025-11-19,3968.33732560492,3613.696276128464,4541.202544021607,1584.1968771972656,2380.60422958875,1285.6516092274176,1343.5976527976272,393.54619664,939.4116654961562,1673.7006745079032,825.5804562969831,546.9945528120203,642.9392527256786,802.1485562506621,494.8649435653687,472.6876768803402,466.1055674,487.9063378713667,394.6953633257959,411.6415611114758,377.8745280822995,379.8758218538172,343.4764772035708,332.9568334215,363.9486912353885,305.88740759344364,317.30912843270784,216.9417646484375,309.7263003820132,303.30193456335707,279.9856557385199,269.6991478461458,264.18536655039094,259.1203702380458,257.9289974117784,237.4058437805204,235.91624962133167,242.22855668198687,236.30689965379588,253.5875245719033,235.74080743190063,232.98594608973576,219.358698767358,215.577518918306,215.59760096436767,201.14940618197812,200.1626678515336,192.94330357606017,178.499733152
2025-11-20,3934.20398625,3555.87238704529,4398.042065139771,1567.921919403076,2321.27349810375,1283.1035160024746,1314.4635459119506,394.67642125,933.7641539522002,1637.8106715176743,812.2686368743964,546.4038720920456,600.6335009073928,853.9720885436622,493.47332584381104,470.4773739938866,447.7579495790292,489.25557400934434,395.8875163912163,405.52639841877016,355.7735895449653,372.42727305,346.28055033122587,330.8466185901464,335.4091250265439,306.3175619142095,306.5500136643615,214.5522353515625,298.07058347894696,300.5228342838356,282.2049714151202,271.4470981172291,258.6605710506629,255.85039650548475,252.22338280551287,236.8271898925664,235.71768327373263,242.29081178088109,235.4568236951196,226.0309799871588,232.0546926219367,231.59153181326425,215.5679573922364,215.183030042636,216.60886970398712,199.7684001697818,195.76335946903856,190.7533119543481,176.73918485385448
2025-11-21,4011.6319316696777,3508.974102187693,4355.191478881836,1620.207516998291,2359.22379756675,1294.21069810325,1300.6946058425165,395.0399132,948.4513330908122,1606.5486381304574,811.2885792482332,553.5088305054544,566.6235225099284,839.7006777359189,493.7263677215576,481.635943852433,441.99518725037234,491.2552565926297,398.42251534368165,417.59763869150805,353.72913570066834,376.5166805864515,352.6598229363931,341.7361509384696,331.7623030338446,313.8023521152816,303.1957131530693,216.20872058105468,300.67829021540814,299.86304393589984,289.84118434716004,278.0276419547084,260.8893182015652,257.8648501556479,251.38105081075776,243.0888699177704,242.64252842153212,241.652607945632,234.3047632357041,232.7657761971588,232.1536741562981,227.50217329845304,222.76688619149323,220.720963163272,220.3049525191452,200.08288255593453,199.0885343647164,192.72849680815185,180.70041852468188
2025-11-22,4011.6319316696777,3508.9741021876935,4355.191478881836,1620.207516998291,2359.22379756675,1294.21069810325,1300.6946058425165,395.0399132,948.4513330908122,1606.5486381304574,811.2885792482332,553.5088305054544,566.6235225099284,839.7006777359189,493.7263677215576,481.635943852433,441.99518725037234,491.2552565926297,398.42251534368165,417.59763869150805,353.72913570066834,376.5166805864515,352.6598229363931,341.73615093846956,331.7623030338446,313.8023521152816,303.1957131530693,216.20872058105468,300.67829021540814,299.86304393589984,289.84118434716004,278.0276419547084,260.8893182015652,257.8648501556479,251.38105081075776,243.08886991777038,242.64252842153218,241.652607945632,234.30476323570414,232.7657761971588,232.1536741562981,227.50217329845302,222.76688619149323,220.72096316327196,220.3049525191452,200.08288255593453,199.08853436471642,192.72849680815185,180.70041852468188
